1833347715,Category:People by populated place in Kent,Ernsanchez00,false,40,enwiki,2024-10-27 01:04:24,false,Added
1833347800,Category talk:Literary awards honoring lifetime achievement,Tom.Reding,false,27,enwiki,2024-10-27 01:04:40,true,+{{[[Template:WP Literature|WP Literature]]}}
1833347818,Arqamani,97.116.160.235,false,-239,enwiki,2024-10-27 01:04:44,false,Clean-up author link links and periods.
1833348001,Poiana Sibiului,Monkbot,true,2,enwiki,2024-10-27 01:05:18,true,[[User:Monkbot/task 20|Task 20]]: replace {lang-??} templates with {langx|??} [[Wikipedia:Templates_for_discussion/Log/2024_September_27#Replace_and_delete_lang-??_templates|‹See Tfd›]] (Replaced 2);
1833348102,Josep Tarradellas Barcelona–El Prat Airport,Pmbma,false,148,enwiki,2024-10-27 01:05:34,false,/* Airlines and destinations */ add independent reference
1833348216,Church of the Holy Sepulchre,197.238.109.195,false,-1050,enwiki,2024-10-27 01:05:42,false,/* top */Fixed typo
1833348317,Banner of Poland,Monkbot,true,1,enwiki,2024-10-27 01:06:10,true,[[User:Monkbot/task 20|Task 20]]: replace {lang-??} templates with {langx|??} [[Wikipedia:Templates_for_discussion/Log/2024_September_27#Replace_and_delete_lang-??_templates|‹See Tfd›]] (Replaced 1);
1833348418,Rio de Janeiro/Galeão International Airport,2804:7F1:218A:F561:10BF:B468:493D:7747,false,-387,enwiki,2024-10-27 01:06:26,false,""
357991908,Liste der Nummer-eins-Hits in den Niederlanden (1999),RiJu90,false,32,dewiki,2024-10-27 01:06:46,false,/* Jahreshitparaden */
1833348501,USS Benham (DD-397),83.23.217.238,false,0,enwiki,2024-10-27 01:06:49,false,Wrong letter
1833348608,Prithviraj Tondaiman,SmartyPants22,false,122,enwiki,2024-10-27 01:07:11,false,2023 Asian Champs medals
1833348713,Mark Rylance,82.13.186.91,false,18,enwiki,2024-10-27 01:07:26,false,/* Interests */
1833348901,Capitol Records,82.47.148.21,false,89,enwiki,2024-10-27 01:07:50,false,Minor
1833349014,User:আরমান হোসেন (রবিন),আরমান হোসেন (রবিন),false,1076,enwiki,2024-10-27 01:08:13,false,""
1833347801,User:AlexNewArtBot/ScotlandSearchResult,InceptionBot,true,-1862,enwiki,2024-10-27 01:04:35,false,most recent results added 17 removed 23 total 332
